house_num,id,family,gendar,age,household,married,ethnicity,elementary,junior,high,university,monestary,health,cold,chronic,together,hours
88,2,4,0,12,0,0,2,5,1,0,0,0,2,1,0,999,999
206,1,1,0,68,1,1,2,5,4,2,0,0,2,1,1,1,8
206,2,2,1,52,0,1,2,5,0,0,0,0,4,2,1,1,8
206,3,4,0,34,0,1,2,5,4,2,0,0,2,1,0,1,8
206,4,8,1,39,0,1,2,5,4,2,0,0,2,2,0,1,8
206,5,7,1,8,0,0,2,5,0,0,0,0,2,1,0,0,0
207,1,2,1,46,0,1,2,5,0,0,0,0,2,0,0,1,8
207,2,1,0,53,1,1,2,5,0,0,0,0,4,4,1,1,8
207,3,4,0,20,0,0,2,5,2,0,0,0,2,0,0,0,0
207,4,4,0,12,0,0,2,5,0,0,0,0,2,0,0,1,8
207,5,3,1,23,0,0,2,5,4,0,0,0,2,0,0,1,8
208,1,2,,51,0,1,2,5,0,0,0,0,2,1,1,1,9
208,2,1,,51,1,1,2,5,4,0,0,0,2,0,0,1,9
208,3,4,,27,0,1,2,5,4,2,0,0,2,0,0,0,999
208,4,4,,14,0,0,2,5,3,0,0,0,2,1,0,0,0
209,1,2,,57,1,0,2,5,0,0,0,0,2,0,0,0,0
209,2,3,,45,0,0,2,5,0,0,0,0,2,0,0,0,0
245,1,1,0,70,1,1,2,5,0,0,0,0,2,0,0,1,6
245,2,2,1,68,0,1,2,5,0,0,0,0,2,2,0,0,0
246,1,1,0,70,1,1,2,5,0,0,0,0,4,0,1,1,8
246,2,2,1,57,0,1,2,5,0,0,0,0,2,0,0,1,8
246,3,3,1,39,0,0,2,5,0,0,0,0,1,0,0,1,8
246,4,3,1,32,0,0,2,5,0,0,0,0,1,0,0,1,8
246,5,8,0,27,0,0,2,5,4,2,0,0,1,0,0,1,8
246,6,8,0,22,0,0,2,5,1,0,0,0,1,0,0,1,8
247,1,1,0,61,1,1,2,5,0,0,0,0,1,0,0,1,7
247,2,2,1,59,0,1,2,5,0,0,0,0,4,3,1,0,0
247,3,3,1,29,0,0,2,5,0,0,0,0,1,0,0,0,0
247,4,8,1,16,0,0,2,5,4,0,0,0,1,0,0,1,7
248,1,1,0,42,1,1,2,5,0,0,0,0,2,4,0,1,9
248,2,2,1,41,0,1,2,5,0,0,0,0,2,0,0,1,9
249,1,2,1,43,0,1,2,4,0,0,0,0,2,0,1,0,0
249,2,1,0,44,1,1,2,4,0,0,0,0,2,2,0,0,0
249,3,3,1,20,0,0,2,4,0,0,0,0,2,0,0,0,0
249,4,4,0,18,0,0,2,5,0,0,0,0,2,0,0,0,0
249,5,4,0,13,0,0,2,5,2,0,0,0,2,0,0,999,0
249,6,4,0,6,0,0,2,1,0,0,0,0,2,0,0,999,0
275,1,2,1,55,1,0,2,2,0,0,0,0,2,2,0,0,0
276,1,4,0,30,1,0,2,5,0,0,0,0,2,0,0,0,7
276,2,4,0,28,0,0,2,5,0,0,0,0,2,0,0,0,7
276,3,4,0,19,0,0,2,5,2,0,0,0,2,0,0,0,7
276,4,1,0,999,999,999,2,5,0,0,0,0,4,999,999,999,999
276,5,2,1,999,999,999,2,5,0,0,0,0,4,999,999,999,999
278,1,1,0,50,1,1,2,5,0,0,0,0,2,0,0,1,9
278,2,2,1,44,0,1,2,3,0,0,0,0,2,0,0,1,9
278,3,7,0,73,0,1,2,5,0,0,0,0,2,6,0,999,0
278,4,3,1,21,0,0,2,5,4,0,0,0,2,4,0,1,9
278,5,4,0,8,0,0,2,3,0,0,0,0,2,5,0,999,0
279,1,2,1,52,0,1,2,5,0,0,0,0,2,2,0,0,7
279,2,1,0,46,1,1,2,5,0,0,0,0,2,2,0,0,7
279,3,4,0,22,0,0,2,5,3,0,0,0,2,2,0,0,7
279,4,4,0,10,0,0,2,5,0,0,0,0,2,5,0,999,0
280,1,1,0,43,0,1,2,5,1,0,0,0,4,1,0,1,8
280,2,2,1,50,1,1,2,5,0,0,0,0,4,0,0,1,8
280,3,3,1,19,0,0,2,5,3,2,2,0,2,0,0,1,4
311,1,1,0,65,1,1,2,0,0,0,0,3,2,1,0,0,0
311,2,2,1,67,0,1,2,0,0,0,0,2,2,1,1,0,0
311,3,4,0,35,0,0,2,5,2,0,0,0,2,0,0,0,0
312,1,1,0,42,1,1,2,5,0,0,0,0,2,1,0,0,0
312,2,2,1,40,0,1,2,5,0,0,0,0,2,1,0,0,0
312,3,4,0,10,0,0,2,5,1,0,0,0,2,1,0,0,0
314,1,2,0,40,0,1,2,5,0,0,0,0,2,0,0,0,9
314,2,1,1,48,1,1,2,5,0,0,0,0,2,2,0,0,9
314,3,3,0,6,0,0,2,1,0,0,0,0,1,0,0,999,0
315,1,2,0,41,0,1,2,5,0,0,0,0,2,0,0,9,9
