house_num,cook,peanut,sesami,soybean,palm,mixed,other,peanut_price,sesami_price,soybean_price,palm_price,mixed_price,other_price,peanut_amount,sesami_amount,soybean_amount,palm_amount,mixed_amount,other_amount,price_healthy,produce_oil,meal,masmedia,health_info,smoking,madical_person,peanut,sesami,palm
29,2,0,1,0,0,0,,0,2500,0,0,0,,0,5,0,0,0,,1,0,2,0,999,1,0,3,1,3
29,2,1,0,0,0,0,0,3000,0,0,0,0,0,2,0,,0,0,0,0,0,3,1,1,1,0,3,3,3
30,3,0,1,0,0,0,,0,2600,0,0,0,,0,4,0,0,0,,1,0,2,0,999,0,0,2,2,3
30,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,0,0,0,0,2,2,3
31,2,1,0,0,0,0,,3000,0,0,0,0,,3,0,0,0,0,,0,0,2,0,999,0,0,1,1,3
31,2,0,1,0,0,0,0,0,2700,0,0,0,0,0,4,0,0,0,0,,0,3,1,1,0,0,3,3,999
32,2,1,0,0,0,0,0,999,0,0,0,0,0,999,0,0,0,0,0,1,0,2,0,999,0,0,2,2,2
58,1,0,1,0,0,0,0,0,3500,0,0,0,0,0,2,0,0,0,0,1,0,3,1,1,0,1,3,3,3
59,1,1,1,0,0,0,0,4000,3500,0,0,0,0,1.7,1.7,0,0,0,0,1,0,3,0,999,0,0,1,1,1
60,2,0,1,0,0,0,0,0,3500,0,0,0,0,0,2,0,0,0,0,0,0,3,0,999,0,0,3,3,3
61,1,1,1,0,0,0,0,3600,4000,0,0,0,0,1,1,0,0,0,0,1,0,3,0,999,0,0,1,1,3
106,1,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,3,0,1,0,3,1,1,0,0,3,3,3
107,1,0,0,0,0,1,0,0,0,0,0,2700,0,0,0,0,0,5,0,1,0,3,0,1,0,0,2,2,2
107,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,1,0,0,0,3,0,999,0,1,1,1,1
108,1,0,0,0,0,1,,0,0,0,0,2500,,0,0,0,0,2,,1,0,3,999,999,0,0,2,2,2
108,2,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,3,1,1,0,1,3,3,3
196,8,0,1,0,0,0,0,0,3000,0,0,0,0,0,4,0,0,0,0,1,0,3,0,999,0,0,3,1,3
197,8,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,4,0,0,0,3,1,1,0,0,1,1,3
198,0,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,0,0,3,1,0,0,0,2,1,3
199,2,1,1,0,0,1,0,6000,5500,0,0,3200,0,1,1,0,0,1,0,1,0,3,1,1,1,0,3,3,3
229,1,0,0,0,0,1,0,0,0,0,0,3500,0,0,0,0,0,3,0,1,0,3,1,1,0,0,1,1,3
230,1,0,0,0,0,1,0,0,0,0,0,2500,0,0,0,0,0,3,0,1,0,3,1,1,0,0,3,3,3
231,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,5,0,1,0,3,1,1,0,1,3,3,3
232,2,0,0,0,0,1,0,0,0,0,0,3000,0,0,0,0,0,4.5,0,1,0,3,1,0,0,0,3,3,3
238,2,0,1,0,0,0,0,0,3000,0,0,0,0,0,6,0,0,0,0,1,0,3,0,999,0,0,3,3,3
239,2,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,3,0,1,0,3,0,999,0,0,3,3,3
241,1,0,1,0,0,0,0,0,5500,0,0,0,0,0,10,0,0,0,0,1,0,3,1,1,0,0,3,3,3
242,3,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,6,0,0,0,3,0,999,1,0,2,2,3
244,0,0,0,0,0,1,0,0,0,0,0,2000,0,0,0,0,0,3,0,0,0,3,1,1,1,0,1,1,1
260,1,0,1,0,0,0,0,0,3000,0,0,0,0,0,3,0,0,0,0,1,0,3,1,0,0,0,3,3,3
